episode,step,reward,action,age
0,0,-3.0,[0 0 1 1 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,1,-5.0,[1 1 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,2,-5.0,[1 0 0 0 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,3,-6.0,[0 0 1 1 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,4,-6.0,[1 1 1 1 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,5,-3.0,[1 1 0 0 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,6,-6.0,[1 1 1 1 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,7,-2.0,[1 1 0 0 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,8,-4.0,[0 1 1 0 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,9,-2.0,[1 0 0 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,10,-3.0,[1 0 0 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,11,-3.0,[1 0 1 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,12,-3.0,[0 1 0 1 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,13,-6.0,[1 1 0 1 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,14,-4.0,[0 0 1 1 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,15,-5.0,[1 1 0 1 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,16,-4.0,[1 1 0 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,17,-3.0,[0 0 1 1 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,18,-4.0,[1 1 0 0 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,19,-7.0,[1 1 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,20,-3.0,[0 0 1 1 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,21,-5.0,[1 1 1 1 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,22,-4.0,[0 1 0 1 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,23,-5.0,[1 1 1 0 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,24,-3.0,[1 1 1 0 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,25,-4.0,[1 0 1 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,26,-3.0,[0 0 1 0 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,27,-4.0,[1 0 1 0 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,28,-4.0,[0 0 0 1 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,29,-3.0,[1 0 0 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,30,-4.0,[0 1 1 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,31,-5.0,[0 0 1 1 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,32,-4.0,[0 1 0 0 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,33,-6.0,[0 0 1 1 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,34,-1.0,[0 0 0 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,35,-4.0,[0 0 1 0 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,36,-4.0,[1 0 1 0 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,37,-3.0,[1 0 0 0 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,38,-5.0,[1 1 1 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,39,-1.0,[0 0 1 0 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,40,-1.0,[0 0 0 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,41,-5.0,[0 0 0 1 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,42,-6.0,[1 1 1 1 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,43,-6.0,[1 1 1 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,44,-3.0,[0 1 0 0 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,45,-5.0,[1 0 0 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,46,-5.0,[1 1 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,47,-3.0,[0 1 1 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,48,-4.0,[1 0 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,49,-4.0,[0 1 0 1 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,50,-3.0,[0 0 0 0 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,51,-5.0,[1 1 1 1 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,52,-3.0,[1 0 0 0 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,53,-5.0,[1 1 1 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,54,-3.0,[0 0 1 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,55,-5.0,[0 0 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,56,-3.0,[1 0 0 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,57,-5.0,[1 0 1 1 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,58,-3.0,[1 0 1 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,59,-5.0,[0 0 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,60,-3.0,[0 1 0 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,61,-3.0,[0 0 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,62,-4.0,[0 1 0 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,63,-4.0,[1 0 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,64,-4.0,[1 0 0 1 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,65,-4.0,[0 1 1 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,66,-4.0,[0 1 1 1 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,67,-5.0,[0 1 1 0 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,68,-6.0,[1 1 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,69,-4.0,[1 0 0 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,70,-3.0,[0 1 0 0 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,71,-4.0,[0 0 0 0 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,72,-4.0,[1 1 0 0 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,73,-3.0,[0 0 0 0 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,74,-3.0,[0 1 0 1 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,75,-3.0,[1 0 0 0 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,76,-5.0,[1 1 0 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,77,-3.0,[1 0 1 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,78,-6.0,[1 1 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,79,-2.0,[1 0 0 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,80,-3.0,[1 1 0 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,81,-4.0,[0 1 0 1 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,82,-4.0,[0 1 1 0 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,83,-3.0,[1 0 1 1 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,84,-5.0,[1 1 1 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,85,-4.0,[1 1 1 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,86,-1.0,[0 0 1 0 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,87,-6.0,[1 1 1 1 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,88,-4.0,[1 0 0 0 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,89,-4.0,[0 0 1 1 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,90,-1.0,[0 0 0 1 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,91,-2.0,[0 0 1 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,92,-6.0,[1 1 1 0 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,93,-5.0,[1 0 0 1 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,94,-3.0,[0 0 1 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,95,-2.0,[0 0 0 0 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,96,-4.0,[1 1 0 0 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,97,-5.0,[1 1 1 1 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,98,-2.0,[1 0 0 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,99,-3.0,[0 1 1 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,100,-6.0,[1 0 1 1 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,101,-5.0,[1 1 1 0 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,102,-5.0,[0 1 1 0 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,103,-3.0,[0 0 1 1 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,104,-2.0,[0 1 0 0 0 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,105,-5.0,[0 1 0 0 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,106,-4.0,[0 1 0 1 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
