episode,step,action
0,0,[0 0 0 1 1 0 0 1]
0,1,[0 0 1 1 1 0 1 0]
0,2,[0 0 1 0 1 1 1 0]
0,3,[1 0 1 0 0 1 0 0]
0,4,[1 1 1 1 0 0 0 0]
0,5,[1 1 1 0 0 0 0 1]
0,6,[1 1 0 0 1 0 0 0]
0,7,[0 0 1 0 1 1 1 0]
0,8,[1 0 1 1 1 0 0 1]
0,9,[1 0 1 0 1 0 1 1]
0,10,[1 0 1 1 0 0 1 0]
0,11,[0 1 0 0 1 0 0 1]
0,12,[1 0 0 0 0 0 1 1]
0,13,[0 0 1 0 0 1 0 0]
0,14,[1 0 0 1 1 1 1 1]
0,15,[0 1 1 0 0 0 0 0]
0,16,[0 1 1 1 0 1 1 1]
0,17,[0 1 0 1 0 1 1 0]
0,18,[0 1 0 0 1 1 1 1]
0,19,[0 1 1 0 1 0 1 1]
0,20,[1 0 1 1 1 1 0 0]
0,21,[1 1 0 0 0 0 0 0]
0,22,[0 0 0 1 1 1 0 1]
0,23,[0 0 0 1 0 1 0 0]
0,24,[0 1 0 0 1 0 0 1]
0,25,[1 0 0 1 1 0 0 1]
0,26,[0 0 1 1 0 0 0 1]
0,27,[0 1 1 0 0 1 0 0]
0,28,[0 1 0 0 0 1 0 0]
0,29,[1 0 0 1 0 0 1 0]
0,30,[0 1 0 0 0 1 1 0]
0,31,[0 0 0 0 1 1 1 0]
0,32,[1 0 1 1 0 0 0 0]
0,33,[0 0 0 0 0 1 1 1]
0,34,[0 0 1 1 1 1 1 1]
0,35,[1 0 1 1 1 1 0 1]
0,36,[0 0 1 1 1 1 0 1]
0,37,[1 1 0 1 1 0 1 1]
0,38,[1 1 0 1 1 0 0 1]
0,39,[1 1 0 1 1 0 0 0]
0,40,[0 0 0 0 1 1 1 0]
0,41,[1 1 0 0 0 0 0 0]
0,42,[1 0 1 0 0 0 0 0]
0,43,[0 1 1 0 1 1 1 1]
0,44,[1 1 1 0 0 1 0 0]
0,45,[0 0 1 1 1 1 1 0]
0,46,[0 1 1 0 0 0 1 1]
0,47,[1 1 1 0 1 1 0 0]
0,48,[0 1 1 1 0 0 0 0]
0,49,[1 0 1 1 1 1 0 0]
0,50,[0 1 1 1 0 0 1 1]
0,51,[1 1 0 0 0 0 0 0]
0,52,[1 1 1 1 1 1 1 0]
0,53,[1 0 1 1 1 1 0 0]
0,54,[0 0 0 0 0 0 0 0]
0,55,[0 1 1 0 0 0 0 0]
0,56,[1 0 0 1 0 0 0 0]
0,57,[1 1 0 1 0 0 0 1]
0,58,[1 1 0 1 0 0 1 1]
0,59,[0 0 1 0 1 0 0 0]
0,60,[1 1 0 0 0 0 1 1]
0,61,[0 1 1 1 1 0 1 1]
0,62,[0 0 0 1 0 1 1 1]
0,63,[0 0 0 1 0 0 0 1]
0,64,[0 0 0 0 0 1 0 1]
0,65,[1 1 1 0 0 0 0 0]
0,66,[0 0 1 1 0 0 0 1]
0,67,[0 0 0 1 0 1 0 0]
0,68,[1 0 1 0 1 1 1 0]
0,69,[0 1 1 0 0 1 1 1]
0,70,[1 0 0 1 1 0 1 0]
0,71,[1 0 1 0 0 0 1 1]
0,72,[1 0 0 0 1 1 1 0]
0,73,[1 1 1 0 0 1 1 1]
0,74,[1 1 1 0 1 0 1 1]
0,75,[0 1 0 0 0 0 1 1]
0,76,[0 1 0 1 0 1 0 0]
0,77,[1 1 1 0 0 0 0 0]
0,78,[0 1 1 0 1 1 1 1]
0,79,[1 1 1 1 0 1 0 1]
0,80,[0 0 0 1 1 0 0 1]
0,81,[0 0 1 0 0 0 0 0]
0,82,[1 1 0 0 1 0 0 0]
0,83,[0 1 1 1 1 0 1 1]
0,84,[1 0 1 0 0 0 0 1]
0,85,[0 1 0 1 0 0 0 0]
0,86,[1 1 0 0 1 1 0 0]
0,87,[1 1 1 0 1 1 1 0]
0,88,[1 1 1 1 1 0 1 0]
0,89,[1 0 1 1 0 0 0 0]
0,90,[0 0 0 0 1 0 0 0]
0,91,[1 0 0 1 0 1 0 0]
0,92,[1 1 0 1 1 0 0 1]
0,93,[0 1 0 1 1 1 1 0]
0,94,[0 1 1 0 0 1 1 1]
0,95,[0 1 1 0 1 1 1 0]
0,96,[0 1 1 0 1 0 0 1]
0,97,[1 0 0 0 0 0 0 1]
0,98,[1 0 1 1 1 0 1 0]
0,99,[0 1 1 0 0 0 0 1]
0,100,[0 0 1 1 0 0 1 1]
0,101,[0 0 1 0 0 1 0 0]
0,102,[0 1 1 1 0 1 0 0]
0,103,[0 0 0 0 0 1 0 0]
0,104,[0 0 1 0 0 0 1 0]
0,105,[1 1 1 0 0 1 1 1]
0,106,[0 0 0 1 0 1 1 1]
0,107,[1 1 1 1 1 0 1 1]
0,108,[1 1 0 1 1 0 0 1]
0,109,[0 1 1 0 1 0 0 0]
0,110,[0 1 1 0 1 0 1 0]
0,111,[1 1 0 1 0 0 0 1]
0,112,[0 0 1 0 0 0 0 1]
0,113,[0 1 1 0 0 0 0 1]
0,114,[0 1 0 1 0 1 1 0]
0,115,[1 1 1 1 1 0 0 1]
0,116,[1 1 1 0 0 1 1 0]
0,117,[1 1 0 1 0 0 1 0]
0,118,[1 0 1 1 1 1 1 1]
0,119,[1 0 1 1 0 1 1 0]
0,120,[0 0 1 1 1 1 1 0]
0,121,[0 1 1 0 1 0 1 1]
0,122,[0 0 1 1 0 0 1 1]
0,123,[1 1 1 1 0 1 0 1]
0,124,[0 1 1 0 1 0 0 1]
0,125,[0 0 0 0 0 0 0 0]
0,126,[0 1 1 0 0 1 0 0]
0,127,[1 1 0 1 0 0 0 1]
0,128,[0 0 1 1 1 0 1 0]
0,129,[1 0 1 1 1 1 1 1]
0,130,[0 1 1 0 0 1 1 1]
0,131,[0 1 0 0 0 1 0 1]
0,132,[0 1 1 0 0 0 1 1]
0,133,[1 0 1 1 1 0 1 0]
0,134,[1 0 1 0 1 0 1 0]
0,135,[1 0 0 1 1 0 1 1]
0,136,[1 0 1 0 1 1 0 1]
0,137,[0 1 0 0 0 0 0 1]
0,138,[1 1 0 0 0 0 0 0]
0,139,[1 1 0 0 0 0 1 0]
0,140,[0 1 0 1 1 0 1 1]
0,141,[1 1 1 0 0 1 1 1]
0,142,[1 1 0 1 1 0 1 0]
0,143,[1 1 1 0 0 1 0 0]
0,144,[0 0 1 0 1 1 1 1]
0,145,[0 1 0 1 0 0 0 1]
0,146,[0 1 0 1 0 1 0 1]
0,147,[0 0 0 0 0 1 0 1]
0,148,[0 1 1 0 1 1 1 1]
0,149,[0 1 1 1 1 1 0 0]
0,150,[1 1 0 0 1 0 1 1]
0,151,[1 0 0 0 1 0 1 1]
0,152,[1 1 1 0 1 1 0 1]
0,153,[1 0 0 1 0 1 1 1]
0,154,[0 1 1 1 1 0 0 1]
0,155,[1 0 0 0 0 1 0 1]
0,156,[1 0 0 1 1 0 1 1]
0,157,[0 1 1 0 0 0 1 1]
0,158,[1 0 0 1 0 0 0 0]
0,159,[0 1 0 0 0 1 0 0]
0,160,[1 0 1 1 1 1 0 1]
0,161,[0 1 0 0 0 0 0 0]
0,162,[1 0 1 0 1 0 0 0]
0,163,[1 1 1 0 1 1 0 1]
0,164,[0 1 1 0 1 0 1 1]
0,165,[0 1 1 1 0 1 0 0]
0,166,[0 0 0 0 0 0 1 0]
0,167,[1 0 1 1 1 1 0 0]
0,168,[0 1 0 1 1 1 1 0]
0,169,[1 0 0 0 0 0 1 1]
0,170,[0 0 1 1 1 0 1 0]
0,171,[1 0 1 0 0 0 1 1]
0,172,[1 0 0 1 1 0 1 1]
0,173,[1 0 0 1 0 1 0 0]
0,174,[0 0 0 1 0 0 1 0]
