episode,step,reward,action_0,action_1,action_2,age_0,age_1,age_2
0,0,-0.3333333333333333,0.0,1.0,1.0,0.005,0.0,0.005
0,1,0.0,0.0,0.0,0.0,0.01,0.005,0.01
0,2,0.0,1.0,0.0,0.0,0.015,0.01,0.015
0,3,-0.3333333333333333,1.0,1.0,0.0,0.02,0.0,0.02
0,4,-0.6666666666666666,1.0,1.0,1.0,0.025,0.005,0.025
0,5,0.0,0.0,1.0,0.0,0.030000000000000002,0.01,0.030000000000000002
0,6,0.0,0.0,0.0,0.0,0.035,0.015,0.035
0,7,-0.3333333333333333,1.0,1.0,1.0,0.04,0.0,0.04
0,8,0.0,1.0,0.0,0.0,0.045,0.005,0.045
0,9,-0.6666666666666666,0.0,1.0,1.0,0.049999999999999996,0.01,0.049999999999999996
0,10,-0.6666666666666666,1.0,0.0,1.0,0.05499999999999999,0.015,0.05499999999999999
0,11,-0.6666666666666666,1.0,1.0,1.0,0.05999999999999999,0.02,0.05999999999999999
0,12,-0.3333333333333333,0.0,1.0,1.0,0.06499999999999999,0.025,0.0
0,13,-0.6666666666666666,1.0,1.0,1.0,0.06999999999999999,0.030000000000000002,0.005
0,14,-0.3333333333333333,1.0,0.0,1.0,0.075,0.035,0.0
0,15,-0.3333333333333333,1.0,0.0,1.0,0.08,0.04,0.0
0,16,-0.3333333333333333,0.0,1.0,0.0,0.085,0.0,0.005
0,17,-0.3333333333333333,0.0,1.0,1.0,0.09000000000000001,0.005,0.0
0,18,-0.3333333333333333,0.0,1.0,1.0,0.09500000000000001,0.0,0.005
0,19,0.0,1.0,1.0,0.0,0.10000000000000002,0.005,0.01
0,20,-0.6666666666666666,1.0,1.0,1.0,0.10500000000000002,0.01,0.015
0,21,-0.3333333333333333,1.0,0.0,1.0,0.11000000000000003,0.015,0.0
0,22,-0.6666666666666666,0.0,1.0,1.0,0.11500000000000003,0.02,0.005
0,23,0.0,0.0,1.0,0.0,0.12000000000000004,0.025,0.01
0,24,0.0,1.0,0.0,0.0,0.12500000000000003,0.030000000000000002,0.015
0,25,-0.3333333333333333,0.0,1.0,1.0,0.13000000000000003,0.035,0.0
0,26,-0.3333333333333333,0.0,0.0,1.0,0.13500000000000004,0.04,0.0
0,27,-0.3333333333333333,1.0,1.0,1.0,0.14000000000000004,0.0,0.005
0,28,0.0,1.0,0.0,1.0,0.14500000000000005,0.005,0.01
0,29,-0.3333333333333333,0.0,1.0,1.0,0.15000000000000005,0.01,0.0
0,30,0.0,1.0,0.0,0.0,0.15500000000000005,0.015,0.005
0,31,-1.0,1.0,1.0,1.0,0.16000000000000006,0.02,0.01
0,32,-0.6666666666666666,1.0,1.0,1.0,0.16500000000000006,0.025,0.015
0,33,-0.3333333333333333,1.0,1.0,0.0,0.17000000000000007,0.0,0.02
0,34,-0.3333333333333333,1.0,1.0,1.0,0.17500000000000007,0.005,0.0
0,35,-0.3333333333333333,0.0,1.0,1.0,0.18000000000000008,0.01,0.0
0,36,0.0,1.0,1.0,0.0,0.18500000000000008,0.015,0.005
0,37,-0.6666666666666666,0.0,1.0,1.0,0.19000000000000009,0.02,0.01
0,38,-0.3333333333333333,0.0,1.0,1.0,0.1950000000000001,0.025,0.0
0,39,0.0,1.0,1.0,0.0,0.2000000000000001,0.030000000000000002,0.005
0,40,-0.6666666666666666,1.0,1.0,0.0,0.2050000000000001,0.035,0.01
0,41,-0.3333333333333333,0.0,1.0,1.0,0.2100000000000001,0.0,0.015
0,42,-0.3333333333333333,1.0,1.0,0.0,0.2150000000000001,0.0,0.02
0,43,-0.6666666666666666,1.0,1.0,0.0,0.2200000000000001,0.005,0.025
0,44,0.0,1.0,0.0,0.0,0.22500000000000012,0.01,0.030000000000000002
0,45,-0.3333333333333333,0.0,1.0,1.0,0.23000000000000012,0.015,0.0
0,46,-0.3333333333333333,0.0,1.0,1.0,0.23500000000000013,0.02,0.0
0,47,-0.3333333333333333,1.0,1.0,1.0,0.0,0.025,0.005
0,48,0.0,1.0,0.0,0.0,0.005,0.030000000000000002,0.01
0,49,-0.3333333333333333,1.0,1.0,0.0,0.01,0.0,0.015
0,50,0.0,0.0,0.0,0.0,0.015,0.005,0.02
0,51,-0.3333333333333333,1.0,1.0,0.0,0.02,0.0,0.025
0,52,-0.3333333333333333,1.0,0.0,0.0,0.0,0.005,0.030000000000000002
0,53,-0.6666666666666666,1.0,1.0,0.0,0.005,0.01,0.035
0,54,-0.6666666666666666,1.0,1.0,1.0,0.01,0.015,0.04
0,55,0.0,0.0,1.0,0.0,0.015,0.02,0.045
0,56,-0.3333333333333333,0.0,1.0,0.0,0.02,0.0,0.049999999999999996
0,57,-0.3333333333333333,0.0,1.0,0.0,0.025,0.0,0.05499999999999999
0,58,-0.3333333333333333,1.0,1.0,0.0,0.030000000000000002,0.0,0.05999999999999999
0,59,-1.0,1.0,1.0,1.0,0.035,0.005,0.06499999999999999
0,60,0.0,0.0,1.0,0.0,0.04,0.01,0.06999999999999999
0,61,0.0,1.0,1.0,0.0,0.045,0.015,0.075
0,62,0.0,0.0,1.0,1.0,0.049999999999999996,0.02,0.08
0,63,-0.6666666666666666,1.0,1.0,1.0,0.05499999999999999,0.025,0.085
0,64,-0.3333333333333333,1.0,1.0,1.0,0.05999999999999999,0.030000000000000002,0.0
0,65,-0.6666666666666666,1.0,0.0,1.0,0.06499999999999999,0.035,0.005
0,66,0.0,1.0,1.0,1.0,0.06999999999999999,0.04,0.01
0,67,-0.6666666666666666,1.0,1.0,1.0,0.075,0.045,0.015
0,68,-0.6666666666666666,1.0,0.0,1.0,0.08,0.049999999999999996,0.02
0,69,0.0,1.0,0.0,0.0,0.085,0.05499999999999999,0.025
0,70,-0.3333333333333333,1.0,0.0,1.0,0.09000000000000001,0.05999999999999999,0.0
0,71,0.0,1.0,1.0,0.0,0.09500000000000001,0.06499999999999999,0.005
0,72,0.0,1.0,1.0,1.0,0.10000000000000002,0.06999999999999999,0.01
0,73,-0.3333333333333333,1.0,1.0,0.0,0.10500000000000002,0.0,0.015
0,74,-0.6666666666666666,0.0,1.0,1.0,0.11000000000000003,0.005,0.02
0,75,-0.6666666666666666,1.0,1.0,1.0,0.11500000000000003,0.01,0.025
0,76,-0.3333333333333333,0.0,1.0,0.0,0.12000000000000004,0.0,0.030000000000000002
0,77,-0.3333333333333333,0.0,1.0,0.0,0.12500000000000003,0.0,0.035
0,78,0.0,0.0,0.0,1.0,0.13000000000000003,0.005,0.04
0,79,-0.6666666666666666,1.0,1.0,0.0,0.13500000000000004,0.01,0.045
0,80,-0.3333333333333333,1.0,1.0,1.0,0.14000000000000004,0.015,0.0
0,81,0.0,1.0,1.0,0.0,0.14500000000000005,0.02,0.005
0,82,-0.3333333333333333,0.0,1.0,0.0,0.15000000000000005,0.0,0.01
0,83,-0.3333333333333333,1.0,1.0,0.0,0.15500000000000005,0.0,0.015
0,84,-0.3333333333333333,0.0,1.0,1.0,0.16000000000000006,0.005,0.0
0,85,-0.3333333333333333,1.0,1.0,1.0,0.16500000000000006,0.0,0.005
0,86,0.0,1.0,0.0,0.0,0.17000000000000007,0.005,0.01
0,87,-0.6666666666666666,0.0,1.0,1.0,0.17500000000000007,0.01,0.015
0,88,0.0,1.0,0.0,0.0,0.18000000000000008,0.015,0.02
0,89,-0.3333333333333333,1.0,1.0,0.0,0.18500000000000008,0.0,0.025
0,90,-0.3333333333333333,0.0,1.0,1.0,0.19000000000000009,0.005,0.0
0,91,-0.3333333333333333,1.0,1.0,0.0,0.1950000000000001,0.0,0.005
0,92,-0.3333333333333333,1.0,1.0,1.0,0.2000000000000001,0.0,0.01
0,93,-0.3333333333333333,0.0,0.0,1.0,0.2050000000000001,0.005,0.0
0,94,-0.3333333333333333,0.0,1.0,0.0,0.2100000000000001,0.0,0.005
0,95,-0.3333333333333333,0.0,1.0,1.0,0.2150000000000001,0.0,0.01
0,96,0.0,1.0,0.0,0.0,0.2200000000000001,0.005,0.015
0,97,0.0,1.0,1.0,1.0,0.22500000000000012,0.01,0.02
0,98,0.0,1.0,1.0,0.0,0.23000000000000012,0.015,0.025
0,99,-0.3333333333333333,0.0,0.0,1.0,0.23500000000000013,0.02,0.0
0,100,-0.3333333333333333,1.0,1.0,1.0,0.0,0.025,0.005
0,101,-0.3333333333333333,1.0,1.0,0.0,0.005,0.0,0.01
0,102,-0.6666666666666666,0.0,1.0,1.0,0.01,0.005,0.015
0,103,0.0,1.0,1.0,1.0,0.015,0.01,0.02
0,104,-0.3333333333333333,1.0,1.0,0.0,0.02,0.0,0.025
0,105,-0.3333333333333333,1.0,0.0,0.0,0.0,0.005,0.030000000000000002
0,106,-0.3333333333333333,1.0,1.0,1.0,0.005,0.01,0.0
0,107,-0.6666666666666666,1.0,1.0,1.0,0.01,0.015,0.005
0,108,-0.6666666666666666,1.0,1.0,1.0,0.015,0.02,0.01
0,109,0.0,1.0,0.0,0.0,0.02,0.025,0.015
0,110,-0.3333333333333333,0.0,1.0,0.0,0.025,0.0,0.02
0,111,-0.3333333333333333,0.0,1.0,1.0,0.030000000000000002,0.005,0.0
0,112,0.0,0.0,0.0,0.0,0.035,0.01,0.005
0,113,0.0,1.0,1.0,0.0,0.04,0.015,0.01
0,114,0.0,1.0,1.0,0.0,0.045,0.02,0.015
0,115,-0.3333333333333333,1.0,1.0,1.0,0.049999999999999996,0.025,0.0
0,116,0.0,1.0,0.0,0.0,0.05499999999999999,0.030000000000000002,0.005
0,117,-0.3333333333333333,1.0,1.0,0.0,0.05999999999999999,0.0,0.01
0,118,0.0,1.0,0.0,0.0,0.06499999999999999,0.005,0.015
0,119,0.0,0.0,0.0,0.0,0.06999999999999999,0.01,0.02
0,120,0.0,1.0,1.0,0.0,0.075,0.015,0.025
0,121,0.0,1.0,0.0,0.0,0.08,0.02,0.030000000000000002
0,122,0.0,1.0,1.0,0.0,0.085,0.025,0.035
0,123,-0.3333333333333333,1.0,1.0,0.0,0.09000000000000001,0.0,0.04
0,124,-0.6666666666666666,0.0,1.0,1.0,0.09500000000000001,0.005,0.045
0,125,-0.6666666666666666,1.0,1.0,1.0,0.10000000000000002,0.01,0.049999999999999996
0,126,-0.3333333333333333,1.0,1.0,0.0,0.0,0.015,0.05499999999999999
0,127,0.0,0.0,1.0,1.0,0.005,0.02,0.05999999999999999
0,128,0.0,0.0,0.0,0.0,0.01,0.025,0.06499999999999999
0,129,-0.3333333333333333,0.0,1.0,0.0,0.015,0.0,0.06999999999999999
0,130,-0.6666666666666666,1.0,1.0,1.0,0.02,0.005,0.075
0,131,0.0,0.0,1.0,1.0,0.025,0.01,0.08
0,132,-0.3333333333333333,1.0,1.0,0.0,0.030000000000000002,0.0,0.085
0,133,0.0,1.0,0.0,1.0,0.035,0.005,0.09000000000000001
0,134,-0.3333333333333333,1.0,1.0,0.0,0.04,0.0,0.09500000000000001
0,135,0.0,1.0,1.0,0.0,0.045,0.005,0.10000000000000002
0,136,-0.3333333333333333,0.0,0.0,1.0,0.049999999999999996,0.01,0.0
0,137,0.0,0.0,1.0,0.0,0.05499999999999999,0.015,0.005
0,138,-0.3333333333333333,1.0,1.0,1.0,0.0,0.02,0.01
0,139,-0.3333333333333333,0.0,1.0,0.0,0.005,0.0,0.015
0,140,0.0,1.0,1.0,0.0,0.01,0.005,0.02
0,141,-0.3333333333333333,1.0,0.0,1.0,0.015,0.01,0.0
0,142,-0.6666666666666666,1.0,1.0,1.0,0.02,0.015,0.005
0,143,0.0,0.0,1.0,0.0,0.025,0.02,0.01
0,144,0.0,1.0,1.0,1.0,0.030000000000000002,0.025,0.015
0,145,0.0,1.0,1.0,0.0,0.035,0.030000000000000002,0.02
0,146,-0.3333333333333333,0.0,1.0,1.0,0.04,0.035,0.0
0,147,0.0,0.0,1.0,0.0,0.045,0.04,0.005
0,148,-0.3333333333333333,1.0,1.0,1.0,0.049999999999999996,0.045,0.0
0,149,-0.6666666666666666,1.0,1.0,1.0,0.05499999999999999,0.049999999999999996,0.005
0,150,-1.0,1.0,1.0,1.0,0.05999999999999999,0.05499999999999999,0.01
0,151,0.0,1.0,1.0,0.0,0.06499999999999999,0.05999999999999999,0.015
0,152,-0.6666666666666666,1.0,0.0,1.0,0.06999999999999999,0.06499999999999999,0.02
0,153,-0.3333333333333333,1.0,1.0,0.0,0.075,0.0,0.025
0,154,-0.3333333333333333,1.0,1.0,0.0,0.0,0.005,0.030000000000000002
0,155,0.0,0.0,1.0,0.0,0.005,0.01,0.035
0,156,0.0,0.0,0.0,0.0,0.01,0.015,0.04
0,157,-0.3333333333333333,1.0,1.0,0.0,0.0,0.02,0.045
0,158,-0.3333333333333333,0.0,1.0,0.0,0.005,0.0,0.049999999999999996
0,159,-0.6666666666666666,1.0,1.0,1.0,0.01,0.005,0.05499999999999999
0,160,0.0,0.0,1.0,0.0,0.015,0.01,0.05999999999999999
0,161,0.0,1.0,0.0,0.0,0.02,0.015,0.06499999999999999
0,162,0.0,1.0,1.0,0.0,0.025,0.02,0.06999999999999999
0,163,-0.3333333333333333,0.0,1.0,0.0,0.030000000000000002,0.0,0.075
0,164,-0.3333333333333333,1.0,0.0,1.0,0.035,0.005,0.0
0,165,-0.3333333333333333,1.0,1.0,0.0,0.04,0.0,0.005
0,166,-0.3333333333333333,1.0,1.0,0.0,0.0,0.005,0.01
0,167,0.0,1.0,1.0,0.0,0.005,0.01,0.015
0,168,-0.6666666666666666,0.0,1.0,1.0,0.01,0.015,0.02
0,169,-0.3333333333333333,0.0,0.0,1.0,0.015,0.02,0.0
0,170,-0.6666666666666666,0.0,1.0,1.0,0.02,0.025,0.005
0,171,0.0,1.0,1.0,0.0,0.025,0.030000000000000002,0.01
0,172,-0.3333333333333333,0.0,1.0,1.0,0.030000000000000002,0.0,0.015
0,173,-0.3333333333333333,1.0,1.0,1.0,0.035,0.005,0.0
0,174,0.0,1.0,0.0,0.0,0.04,0.01,0.005
0,175,-0.6666666666666666,1.0,1.0,0.0,0.045,0.015,0.01
0,176,-0.3333333333333333,1.0,0.0,1.0,0.049999999999999996,0.02,0.0
0,177,-1.0,1.0,1.0,1.0,0.05499999999999999,0.025,0.005
0,178,0.0,1.0,1.0,0.0,0.05999999999999999,0.030000000000000002,0.01
0,179,-0.6666666666666666,0.0,1.0,1.0,0.06499999999999999,0.035,0.015
0,180,-0.3333333333333333,0.0,1.0,0.0,0.06999999999999999,0.0,0.02
0,181,-0.6666666666666666,1.0,1.0,1.0,0.075,0.005,0.025
0,182,-0.3333333333333333,1.0,1.0,1.0,0.08,0.01,0.0
0,183,-0.6666666666666666,0.0,1.0,1.0,0.085,0.015,0.005
0,184,0.0,1.0,1.0,0.0,0.09000000000000001,0.02,0.01
0,185,0.0,0.0,0.0,0.0,0.09500000000000001,0.025,0.015
0,186,-0.3333333333333333,0.0,1.0,1.0,0.10000000000000002,0.030000000000000002,0.0
0,187,0.0,0.0,0.0,0.0,0.10500000000000002,0.035,0.005
0,188,-0.6666666666666666,1.0,1.0,0.0,0.11000000000000003,0.04,0.01
0,189,-0.3333333333333333,1.0,1.0,0.0,0.11500000000000003,0.0,0.015
0,190,0.0,0.0,1.0,0.0,0.12000000000000004,0.005,0.02
0,191,0.0,1.0,1.0,0.0,0.12500000000000003,0.01,0.025
0,192,0.0,1.0,1.0,0.0,0.13000000000000003,0.015,0.030000000000000002
0,193,0.0,1.0,0.0,0.0,0.13500000000000004,0.02,0.035
0,194,-0.3333333333333333,1.0,1.0,1.0,0.14000000000000004,0.025,0.0
0,195,0.0,0.0,0.0,1.0,0.14500000000000005,0.030000000000000002,0.005
0,196,-0.6666666666666666,1.0,1.0,1.0,0.15000000000000005,0.035,0.01
0,197,-0.3333333333333333,0.0,0.0,1.0,0.15500000000000005,0.04,0.0
0,198,-0.6666666666666666,1.0,0.0,1.0,0.16000000000000006,0.045,0.005
0,199,172.66666666666666,1.0,1.0,0.0,0.16500000000000006,0.0,0.01
