Wall time,Step,Value
1724638116.1337342,0,33.625
1724638122.932665,1,46.875
1724638130.6475012,2,50.75
1724638138.1605215,3,38.875
1724638145.9705207,4,70.5
1724638153.5577347,5,57.75
1724638160.2948341,6,62.125
1724638167.4163558,7,37.125
1724638174.1534338,8,47.75
1724638181.6103327,9,33.25
1724638188.5402415,10,59.5
1724638195.8373563,11,40.625
1724638202.3494723,12,43.375
1724638208.9755192,13,53.875
1724638216.3276587,14,37.875
1724638223.5170896,15,42.125
1724638230.2447755,16,46.625
1724638237.992351,17,62.5
1724638245.7432525,18,50.5
1724638254.0044687,19,52.625
1724638260.917082,20,80.5
1724638268.491557,21,41.5
1724638277.3537045,22,55.5
1724638286.488189,23,42.125
1724638293.10262,24,46.25
1724638300.5503302,25,51.375
1724638307.4777572,26,60.125
1724638314.6003904,27,53.75
1724638322.2232566,28,74.125
1724638329.2575731,29,51.875
1724638335.7722137,30,46.375
1724638343.4825032,31,63.25
1724638350.2342522,32,62.125
1724638357.3185997,33,57.625
1724638364.013961,34,66.625
1724638370.8482146,35,60.0
1724638377.4452775,36,59.625
1724638384.8684185,37,63.0
1724638391.4540095,38,59.625
1724638398.5050445,39,51.125
1724638405.350305,40,44.625
1724638412.3211024,41,65.0
1724638419.8927634,42,71.5
1724638426.769968,43,53.875
1724638433.6931036,44,63.0
1724638440.591815,45,59.5
1724638448.6929088,46,49.125
1724638456.0964446,47,56.0
1724638462.6115127,48,42.75
1724638469.8764632,49,35.5
1724638477.066808,50,53.125
1724638485.2500968,51,38.125
1724638492.2654784,52,48.5
1724638500.384466,53,41.75
1724638508.0185313,54,72.375
1724638515.6803634,55,52.625
1724638522.4674885,56,69.625
1724638529.4610047,57,68.875
1724638536.316833,58,66.25
1724638543.8121684,59,75.5
1724638551.3596647,60,38.5
1724638558.3632333,61,52.625
1724638565.6261473,62,63.25
1724638572.1313062,63,64.0
1724638579.058067,64,54.125
1724638585.7030537,65,57.625
1724638592.1039257,66,67.75
1724638598.6297154,67,75.625
1724638605.3957314,68,65.375
1724638612.321596,69,52.375
1724638618.8969293,70,43.875
1724638625.4627516,71,53.0
1724638632.051837,72,45.0
1724638638.6136255,73,58.375
1724638645.5579827,74,66.875
1724638652.0004027,75,55.625
1724638658.5139341,76,55.0
1724638665.078196,77,70.375
1724638671.6747634,78,65.625
1724638678.0839858,79,56.0
1724638685.041583,80,76.625
1724638691.8081698,81,81.0
1724638698.7290466,82,55.25
1724638706.2761347,83,77.75
1724638712.86315,84,62.625
1724638719.2249105,85,65.875
1724638726.414439,86,69.125
1724638733.8611476,87,57.375
1724638740.638158,88,74.875
1724638747.3943002,89,62.375
1724638754.8003547,90,64.125
1724638762.3807142,91,79.875
1724638769.6276803,92,66.75
1724638777.172215,93,70.75
1724638784.2459447,94,68.375
1724638791.4038742,95,75.0
1724638798.7761428,96,80.0
1724638805.4703755,97,81.125
1724638812.499708,98,61.875
1724638819.6325881,99,70.375
1724638826.6037629,100,86.375
1724638833.9077117,101,65.75
1724638841.303297,102,79.0
1724638848.7844253,103,87.25
1724638855.7265096,104,66.25
1724638862.8718762,105,58.375
1724638869.46486,106,85.25
1724638876.4018095,107,63.25
1724638883.9191916,108,90.5
1724638890.7034354,109,68.125
1724638897.6759384,110,74.5
1724638904.7033892,111,85.875
1724638911.7523806,112,53.125
1724638918.9732182,113,86.625
1724638926.4719121,114,83.625
1724638933.1271021,115,62.625
1724638940.2474127,116,78.125
1724638947.3349814,117,79.0
1724638954.5533144,118,78.0
1724638961.9103389,119,91.875
1724638968.45091,120,78.375
1724638975.1270351,121,65.375
1724638983.0237174,122,71.25
1724638990.137479,123,98.375
1724638997.6835864,124,67.875
1724639004.8769867,125,76.5
1724639012.5572176,126,92.625
1724639020.217891,127,63.875
1724639026.8470592,128,69.75
1724639033.740266,129,69.5
1724639040.7013347,130,72.0
1724639048.0598903,131,90.125
1724639054.9471848,132,83.875
1724639061.7612805,133,74.25
1724639068.3885977,134,78.875
1724639075.5765426,135,77.625
1724639080.973589,136,74.25
1724639085.7205255,137,91.375
1724639090.7486827,138,64.5
1724639095.549567,139,87.25
1724639100.6961777,140,79.125
1724639105.6890197,141,76.625
1724639110.5291154,142,74.75
1724639115.3623176,143,64.125
1724639120.1077402,144,68.625
1724639124.8846586,145,51.75
1724639129.7301936,146,72.625
1724639134.6743805,147,97.125
1724639139.5534573,148,66.625
1724639144.3698905,149,58.125
1724639149.3192956,150,65.875
1724639154.2087352,151,63.25
1724639159.169498,152,69.5
1724639164.2079024,153,94.25
1724639169.2590866,154,71.875
1724639174.2727115,155,72.5
1724639178.990856,156,79.625
1724639183.8491561,157,70.5
1724639188.9377346,158,69.625
1724639194.0393665,159,82.75
1724639198.8273485,160,85.75
1724639204.0269947,161,88.625
1724639208.9967139,162,78.5
1724639213.9629526,163,55.125
1724639218.8223734,164,79.5
1724639223.8023849,165,71.375
1724639228.7716186,166,73.625
1724639233.7895522,167,69.5
1724639238.6893687,168,74.875
1724639243.54653,169,88.875
1724639248.440083,170,85.0
1724639253.3543053,171,73.5
1724639258.3482916,172,92.625
1724639263.1239839,173,76.0
1724639267.8659039,174,74.875
1724639272.9932518,175,84.875
1724639277.6925185,176,102.625
1724639282.8534148,177,85.125
1724639287.6284406,178,68.0
1724639292.5397453,179,77.625
1724639297.3225877,180,96.5
1724639302.2551298,181,98.5
1724639307.058278,182,90.5
1724639311.7539907,183,76.5
