Wall time,Step,Value
1724638116.4754448,0,67.75
1724638125.4614518,1,84.75
1724638133.86155,2,78.125
1724638142.93661,3,82.0
1724638151.279487,4,67.0
1724638159.6816661,5,45.5
1724638168.77439,6,65.625
1724638177.6573637,7,57.0
1724638186.0473478,8,62.0
1724638193.989158,9,76.625
1724638203.3580866,10,77.25
1724638211.7440262,11,77.375
1724638219.8439112,12,71.125
1724638228.9337444,13,57.0
1724638238.4240656,14,90.125
1724638247.5908637,15,90.625
1724638257.1533146,16,76.75
1724638268.9225464,17,30.625
1724638277.2239244,18,87.875
1724638286.5610843,19,54.125
1724638296.3744981,20,78.5
1724638305.7294545,21,62.125
1724638315.24817,22,76.0
1724638324.2268825,23,57.0
1724638333.4135916,24,89.375
1724638344.0790927,25,68.125
1724638354.9467254,26,78.75
1724638364.7179842,27,63.875
1724638373.34914,28,64.375
1724638382.5878158,29,81.375
1724638392.8299956,30,68.25
1724638401.790242,31,71.875
1724638411.0366125,32,49.25
1724638419.6501238,33,85.0
1724638429.0766938,34,104.5
1724638437.8295248,35,85.25
1724638446.7005851,36,86.875
1724638455.246912,37,86.125
1724638465.0274405,38,94.25
1724638473.7553864,39,97.125
1724638484.1450007,40,70.25
1724638494.0416093,41,70.0
1724638502.0956633,42,85.875
1724638510.957646,43,86.875
1724638519.4000523,44,102.75
1724638528.3245888,45,97.25
1724638537.309014,46,69.875
1724638545.2657707,47,82.125
1724638553.895021,48,97.625
1724638562.2470834,49,113.75
1724638570.7155693,50,85.0
1724638578.631343,51,80.875
1724638586.8730032,52,101.25
1724638595.5325654,53,91.625
1724638603.7096927,54,106.125
1724638612.0726829,55,103.125
1724638621.1205523,56,121.375
1724638629.7673974,57,114.75
1724638639.5673223,58,94.875
1724638649.1474204,59,104.375
1724638659.5191557,60,115.0
1724638669.446991,61,100.375
1724638678.63156,62,109.375
1724638687.7049317,63,112.25
1724638696.817299,64,110.875
1724638706.2411315,65,114.625
1724638715.466342,66,111.125
1724638724.5539246,67,95.375
1724638733.55903,68,117.5
1724638742.5341303,69,106.375
1724638751.4006157,70,106.625
1724638760.4535282,71,78.625
1724638768.511813,72,107.875
1724638776.9954276,73,113.0
1724638785.4227054,74,108.375
1724638794.45941,75,99.875
1724638802.672498,76,107.375
1724638811.5535114,77,119.5
1724638820.4982913,78,121.75
1724638830.1615117,79,104.75
1724638838.9423258,80,114.25
1724638847.4060476,81,122.625
1724638856.3081198,82,98.25
1724638864.8423498,83,97.5
1724638873.2459812,84,100.25
1724638882.14873,85,115.0
1724638891.1762815,86,119.5
