Wall time,Step,Value
1724638116.9902804,0,101.625
1724638121.6972275,1,81.125
1724638126.6933942,2,95.375
1724638132.093375,3,69.25
1724638136.8967335,4,91.5
1724638141.5255835,5,101.625
1724638146.038358,6,91.25
1724638150.517887,7,90.0
1724638155.5237746,8,96.875
1724638160.9898748,9,97.125
1724638165.838333,10,90.25
1724638170.728014,11,77.0
1724638175.2519805,12,104.0
1724638180.1143003,13,98.0
1724638185.1816962,14,94.875
1724638189.8964806,15,89.125
1724638195.2646499,16,91.5
1724638200.4287064,17,91.5
1724638205.278631,18,105.0
1724638210.8047469,19,87.125
1724638215.835218,20,88.625
1724638221.1371136,21,91.375
1724638226.0931008,22,97.125
1724638231.835056,23,87.625
1724638236.7368243,24,89.875
1724638241.8934116,25,85.875
1724638247.2876205,26,80.0
1724638252.3381665,27,58.5
1724638257.1806543,28,54.25
1724638261.615974,29,96.0
1724638266.6069133,30,93.0
1724638270.736906,31,98.75
1724638276.6114473,32,90.25
1724638281.2312791,33,90.625
1724638286.0570378,34,94.875
1724638292.0569189,35,89.5
1724638296.9165769,36,92.75
1724638302.5539756,37,71.75
1724638307.8175578,38,91.375
1724638313.526885,39,112.875
1724638319.3590689,40,88.875
1724638325.043372,41,88.75
1724638330.7626848,42,63.25
1724638336.2416053,43,100.25
1724638341.3473318,44,105.125
1724638345.8141155,45,82.875
1724638350.5416684,46,87.125
1724638354.9351072,47,86.0
1724638359.5891166,48,91.75
1724638364.2102191,49,82.25
1724638368.7794952,50,86.375
1724638374.37801,51,91.25
1724638378.7783024,52,80.0
1724638383.310807,53,95.625
1724638387.8430817,54,78.375
1724638393.019664,55,98.0
1724638398.1464672,56,85.625
1724638402.99919,57,88.375
1724638408.2909815,58,68.0
1724638413.0991898,59,96.25
1724638417.9797032,60,98.375
1724638422.4507325,61,98.5
1724638427.1227903,62,97.25
1724638432.0540686,63,89.5
1724638436.8765972,64,88.75
1724638441.5663316,65,74.5
1724638446.0464392,66,84.75
1724638450.887892,67,98.875
1724638455.629636,68,102.625
1724638460.5388288,69,91.125
1724638464.9282992,70,97.25
1724638469.742591,71,100.75
1724638474.159948,72,104.5
1724638478.7175798,73,95.625
1724638483.7706125,74,94.5
1724638488.6993098,75,97.875
1724638493.3898897,76,81.375
1724638498.0441146,77,96.5
1724638503.0966458,78,103.875
1724638507.6419027,79,60.0
1724638512.527755,80,94.25
1724638517.0363953,81,80.5
1724638521.8488276,82,82.875
1724638526.7965906,83,96.375
1724638531.4483957,84,110.625
1724638536.2612996,85,97.375
1724638540.8128655,86,75.75
1724638545.3897626,87,99.75
1724638550.2416966,88,90.375
1724638555.4469705,89,76.5
1724638560.5786657,90,89.5
1724638565.5431159,91,86.25
1724638570.5067334,92,94.5
1724638575.7083514,93,99.5
1724638580.886088,94,83.375
1724638586.5364785,95,101.0
1724638591.6224387,96,89.75
1724638596.512599,97,84.375
1724638601.7928457,98,107.125
1724638606.716716,99,92.75
1724638611.8826563,100,91.75
1724638617.022347,101,69.0
1724638621.8772814,102,69.0
1724638627.1715407,103,85.875
1724638631.9464889,104,98.625
1724638636.3630278,105,82.875
1724638641.2918663,106,97.75
1724638645.7132978,107,100.625
1724638650.4824424,108,88.125
1724638655.3616197,109,82.375
1724638659.9271052,110,81.25
1724638664.6028185,111,82.875
1724638668.9845366,112,76.125
1724638674.0890982,113,79.125
1724638678.8538828,114,112.5
1724638683.4459143,115,89.375
1724638688.0938354,116,72.75
1724638692.70244,117,99.75
1724638697.3469143,118,79.375
1724638701.7639568,119,105.125
1724638706.201015,120,98.125
1724638711.105807,121,99.625
1724638715.805823,122,72.625
1724638720.7190332,123,94.0
1724638725.1756988,124,98.875
1724638729.6318223,125,97.75
1724638734.0724156,126,87.75
1724638738.7324858,127,92.875
1724638743.4069924,128,93.5
1724638748.0159025,129,104.75
1724638752.5514631,130,104.875
1724638756.9826005,131,65.25
1724638761.5551631,132,91.375
1724638766.3789473,133,72.75
1724638771.3386064,134,54.5
1724638776.0934875,135,97.625
1724638781.2677593,136,93.875
1724638785.7794523,137,94.875
1724638790.5687134,138,98.0
1724638795.324358,139,102.625
1724638800.4727924,140,80.375
1724638805.155249,141,86.5
1724638809.8915622,142,78.625
1724638814.2950838,143,81.25
1724638819.1179178,144,78.75
1724638823.424586,145,100.25
1724638827.7857769,146,91.25
1724638832.0286834,147,94.875
1724638836.6156073,148,88.75
1724638841.1106014,149,87.875
1724638845.6696532,150,94.375
1724638850.2878487,151,84.25
1724638855.038112,152,99.625
1724638859.6596487,153,102.875
1724638864.5269997,154,85.375
1724638869.5891054,155,100.625
1724638874.1824944,156,71.375
1724638878.898024,157,94.75
1724638883.5528605,158,81.5
1724638888.0505645,159,87.125
1724638892.6236308,160,98.75
1724638897.4118419,161,77.75
1724638902.4531844,162,96.875
1724638907.1192405,163,92.25
1724638911.6627755,164,90.375
